train_params/lambda_sparsity,train/grad_norm,train_params/lambda_orient,train_params/lambda_opaque,train/loss_opaque,lr-Adam/geometry,step,train/max_step,train/loss_orient,epoch,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,train/loss_sds,train/min_step
1.0,95.962890625,12.37600040435791,0.0,0.11234153807163239,,12,980.0,0.016315804794430733,0,0.2043743133544922,,1.0,4604.4384765625,20.0
,,,,,0.01,13,,,,,0.001,,,
1.0,39.899131774902344,12.574000358581543,0.0,0.13621754944324493,,13,980.0,0.016621526330709457,0,0.22910861670970917,,1.0,795.9702758789062,20.0
,,,,,0.01,14,,,,,0.001,,,
1.0,13.67076301574707,12.772000312805176,0.0,0.10784320533275604,,14,980.0,0.01659703440964222,0,0.20109295845031738,,1.0,93.44488525390625,20.0
,,,,,0.01,15,,,,,0.001,,,
1.0,411.89215087890625,12.970000267028809,0.0,0.19604703783988953,,15,980.0,0.01776154525578022,0,0.294663667678833,,1.0,84827.578125,20.0
,,,,,0.01,16,,,,,0.001,,,
1.0,6.987772464752197,13.168000221252441,0.0,0.2522117495536804,,16,980.0,0.020847879350185394,0,0.38687965273857117,,1.0,24.41448211669922,20.0
,,,,,0.01,17,,,,,0.001,,,
1.0,62.621551513671875,13.366000175476074,0.0,0.2568625807762146,,17,980.0,0.019519662484526634,0,0.36274248361587524,,1.0,1960.729248046875,20.0
,,,,,0.01,18,,,,,0.001,,,
1.0,56.463409423828125,13.564000129699707,0.0,0.24454641342163086,,18,980.0,0.01783975586295128,0,0.3344424068927765,,1.0,1594.058349609375,20.0
,,,,,0.01,19,,,,,0.001,,,
1.0,70.29779815673828,13.76200008392334,0.0,0.1286245584487915,,19,980.0,0.016968656331300735,0,0.22195932269096375,,1.0,2470.890380859375,20.0
,,,,,0.01,20,,,,,0.001,,,
1.0,76.38578796386719,13.960000038146973,0.0,0.3387666940689087,,20,980.0,0.0185499656945467,0,0.4350235164165497,,1.0,2917.39404296875,20.0
,,,,,0.01,21,,,,,0.001,,,
1.0,19.358182907104492,14.157999992370605,0.0,0.32828593254089355,,21,980.0,0.02338886447250843,0,0.5094616413116455,,1.0,187.36962890625,20.0
,,,,,0.01,22,,,,,0.001,,,
1.0,584.2456665039062,14.355999946594238,0.0,0.16599687933921814,,22,980.0,0.01698281057178974,0,0.259318470954895,,1.0,170671.515625,20.0
,,,,,0.01,23,,,,,0.001,,,
1.0,355.44952392578125,14.553999900817871,0.0,0.16951334476470947,,23,980.0,0.019518161192536354,0,0.2856789231300354,,1.0,63172.18359375,20.0
,,,,,0.01,24,,,,,0.001,,,
1.0,5.483283042907715,14.751999855041504,0.0,0.14576752483844757,,24,980.0,0.016692988574504852,0,0.2367061823606491,,1.0,15.033195495605469,20.0
,,,,,0.01,25,,,,,0.001,,,
1.0,26.782032012939453,14.949999809265137,0.0,0.28963202238082886,,25,980.0,0.018803127110004425,0,0.3949929475784302,,1.0,358.63861083984375,20.0
,,,,,0.01,26,,,,,0.001,,,
1.0,77.74622344970703,15.14799976348877,0.0,0.13890425860881805,,26,980.0,0.01630392111837864,0,0.22805273532867432,,1.0,3022.23779296875,20.0
,,,,,0.01,27,,,,,0.001,,,
1.0,252.168701171875,15.345999717712402,0.0,0.1814168095588684,,27,980.0,0.01646874099969864,0,0.2707681655883789,,1.0,31794.52734375,20.0
,,,,,0.01,28,,,,,0.001,,,
1.0,77.92433166503906,15.543999671936035,0.0,0.32544782757759094,,28,980.0,0.02263728342950344,0,0.4893656373023987,,1.0,3036.1005859375,20.0
,,,,,0.01,29,,,,,0.001,,,
1.0,121.29429626464844,15.741999626159668,0.0,0.37398624420166016,,29,980.0,0.02038757875561714,0,0.48596903681755066,,1.0,7356.1533203125,20.0
,,,,,0.01,30,,,,,0.001,,,
1.0,50.52024841308594,15.9399995803833,0.0,0.20855015516281128,,30,980.0,0.01813451200723648,0,0.3065780997276306,,1.0,1276.147705078125,20.0
,,,,,0.01,31,,,,,0.001,,,
1.0,59.24871063232422,16.13800048828125,0.0,0.29716557264328003,,31,980.0,0.021505488082766533,0,0.44400715827941895,,1.0,1755.204833984375,20.0
,,,,,0.01,32,,,,,0.001,,,
